Loading model from C:\Users\steev\OneDrive\Desktop\program files extanctions\Site_Guard\ai_cyber_ext_pro\ml\url_model.joblib
Models loaded successfully.
Testing 186 URLs...
--------------------------------------------------
URL                                                          | Risk      
https://pusatdanaindoxs.xyzdanaid.biz.id/                    | BLOCKED
https://citybee.life/                                        | BLOCKED
https://tokenpocketk.cc/                                     | BLOCKED
https://www.bet394.cc/                                       | BLOCKED
https://horame.vercel.app/                                   | BLOCKED
https://usps-express.top/admin/dashboard                     | BLOCKED
https://usps-express.top/adminlogin/validate_admin           | BLOCKED
https://usps-express.top/adminlogin/dashboard                | BLOCKED
https://responsive-facebooklayout.vercel.app/                | BLOCKED
https://www.responsive-facebooklayout.vercel.app/            | BLOCKED
http://xbn.waz.mybluehost.me/Tracking-number/dhl/tracking... | BLOCKED
https://conference.nemoofficeclub.co.uk/pf/login.php         | BLOCKED
https://southfreak.in/-deapp/add/meinkonto/?pwd=tfbank       | BLOCKED
http://xyruss004.pages.dev/                                  | BLOCKED
https://ta1a2w.top/                                          | BLOCKED
https://phpstack-1568028-6100183.cloudwaysapps.com/login.... | BLOCKED
https://roblox.cd/users/3064645976/profile                   | BLOCKED
https://loginservice.cloud/bK3s19-jy_RCh8PxJw?/g/personal... | BLOCKED
https://pengembalian-dana.lazada.xx.kg/                      | BLOCKED
http://www.pengembalian-dana.lazada.xx.kg/                   | BLOCKED
https://sso-security.com/8mdoRKygydY_ntWLug?/aG94aHVudA      | BLOCKED
http://ipfs.io/ipfs/bafybeifijodl3ckuyrqrm6xqmsmqpd7zrjtj... | BLOCKED
https://ipfs.io/ipfs/bafkreidcfjqg3uijbhgdo3sqac3tneab6s2... | BLOCKED
https://authentication.ms/B7SVdGPnGHBtX6cZ?/domain=dpworl... | BLOCKED
https://sso-security.com/wPkmh20MmRTxVEwAhQ?=userid&messa... | BLOCKED
https://facebook-authentication.secure-datalink.org/landi... | BLOCKED
https://notifyhubss.net/z3884dc5dra9464095082dc8f73s3f446... | BLOCKED
https://www.roblox.tc/users/826238915/profile                | BLOCKED
https://1511.us/                                             | BLOCKED
https://3365.us/                                             | BLOCKED
http://www.ismili.shop/                                      | BLOCKED
http://pontosresgatados.dynv6.net/B55546/955448878887801/... | BLOCKED
https://bit.ly/4lQY0I1                                       | BLOCKED
http://sup0rti1loading.fwh.is/                               | BLOCKED
http://roblox.cd/login?returnUrl=1205668524161161            | BLOCKED
https://lmoriw-iekascma-oqmmcq-213-cmakwe-fgacsax.pages.d... | BLOCKED
https://movinie.jp/Air-Canada/Aeroplan1/shaw/index.html      | BLOCKED
https://217-154-167-160.cprapid.com/usps/update.php?1h7lv... | BLOCKED
https://shortlink.st/pqF-Ldgf                                | BLOCKED
https://pinturerialical.click/                               | BLOCKED
https://betll.cm/                                            | BLOCKED
http://z24m.xyz/                                             | BLOCKED
https://cs2twitch.sbs/mirage                                 | BLOCKED
https://shortlink.st/9TlS-hnG                                | BLOCKED
https://tk.22477.icu/                                        | BLOCKED
https://www.roblox.tc/games/109983668079237/SKIBIDI-Steal... | BLOCKED
https://9516.li/                                             | BLOCKED
https://paypal-test.mg-usa.com/nl/home                       | BLOCKED
https://paypal-test.mg-usa.com/                              | BLOCKED
http://shortlink.st/Rdvm4imn                                 | BLOCKED
https://go2wa.cc/FgCozItO/?regalos-de-navidad-amazon-2025... | BLOCKED
https://www.demo.zpejy.app/                                  | BLOCKED
https://www.beta.qdbywe.loan/                                | BLOCKED
https://www.bbwukjih.dnq.r.110880.cn/                        | BLOCKED
https://www.eyewjb.loan/                                     | BLOCKED
https://www.protocol.27836.click/                            | BLOCKED
https://www.qdbywe.loan/                                     | BLOCKED
http://www.j250e.xyz/                                        | BLOCKED
https://www.atom.27836.click/                                | BLOCKED
http://xdanaid-payllaaterxr.tienzylyan.biz.id/               | BLOCKED
https://msggo.cc/FujfVhcx/?regalos-de-navidad-amazon-2025... | BLOCKED
https://eng-ledgerlvestart.pages.dev/route=checkout/check... | BLOCKED
http://www.axa-mont-terrible.ch/                             | BLOCKED
--------------------------------------------------
Total Blocked: 91/186
